711;712;713;714;715;716;717;718;719
##;##;##;Компьютерные технологии#Пудгородский Ю.А.#802 КПМ;Компьютерные технологии#Овчинников В.А.#701 КПМ;Дифф.ур.#Бишаев А.М.#411 ГК;Компьютерные технологии#Миряха В.А.#706 КПМ;##;##
Аналит.мех.#Соловьев А.А.#416  ГК;##;Компьютерные технологии#Муратов М.В.#705 КПМ;Компьютерные технологии#Пудгородский Ю.А.#802 КПМ;Компьютерные технологии#Овчинников В.А.#701 КПМ;Компьютерные технологии#Чуканова О.В.#801 КПМ;Компьютерные технологии#Миряха В.А.#706 КПМ;Общая физика#Кириллов В.П.#524 ГК;Сравнительный анализ языков программир.#Краснов М.М.#804 КПМ
##;##;Компьютерные технологии#Муратов М.В.#705 КПМ;##;Аналит.мех.#Иванов Д.С.#414 ГК;Компьютерные технологии#Чуканова О.В.#801 КПМ;Общая физика#Виноградов С.В.#529 ГК;##;Общая физика#Рыбакова А.А.#432 ГК
Дифференциальные уравнения#Бишаев А.М.#Б.Физ.;Дифференциальные уравнения#Бишаев А.М.#Б.Физ.;Дифференциальные уравнения#Бишаев А.М.#Б.Физ.;Дифференциальные уравнения#Бишаев А.М.#Б.Физ.;Дифференциальные уравнения#Бишаев А.М.#Б.Физ.;Дифференциальные уравнения#Бишаев А.М.#Б.Физ.;Дифференциальные уравнения#Бишаев А.М.#Б.Физ.;Дифференциальные уравнения#Бишаев А.М.#Б.Физ.;##
##;Компьютерные технологии#Красильников Н.И.#806 КПМ;Общая физика#Арсеньев А.Р.#530 ГК;Дифф.ур.#Бишаев А.М.#420 ГК;##;##;##;Аналит.мех.#Фомичев А.В.#409  ГК;##
##;Компьютерные технологии#Красильников Н.И.#806 КПМ;##;Аналит.мех.#Федичев О.Б.#415  ГК;##;##;##;##;##
##;##;##;##;##;##;##;##;##
Лаборатория полупроводник. приборов##;Общая физика: лаб.практикум#Кубышкин А.В._Казимиров А.А#;Общая физика: лаб.практикум#Коренев Д.П._Дьячков Н.В.#;Общая физика: лаб.практикум#Алескеров И.А._Жабин С.Н.#;Общая физика: лаб.практикум#Коротеев Г.А._Смирнова О.И.#;##;Общая физика: лаб.практикум#Виноградов С.В._Филатов Ю.Н.#;Общая физика: лаб.практикум#Арсеньев А.Р._Копнин С.И.#;Теория и технология программир.#Казаков А.О.#320 ЛК
Лаборатория полупроводник. приборов##;Общая физика: лаб.практикум#Кубышкин А.В._Казимиров А.А#;Общая физика: лаб.практикум#Коренев Д.П._Дьячков Н.В.#;Общая физика: лаб.практикум#Алескеров И.А._Жабин С.Н.#;Общая физика: лаб.практикум#Коротеев Г.А._Смирнова О.И.#;##;Общая физика: лаб.практикум#Виноградов С.В._Филатов Ю.Н.#;Общая физика: лаб.практикум#Арсеньев А.Р._Копнин С.И.#;Теория и технология программир.#Казаков А.О.#320 ЛК
Лаборатория полупроводник. приборов##;##;##;##;##;##;##;##;##
Дифференциальные уравнения#Бишаев А.М.#Б.Физ.;Дифференциальные уравнения#Бишаев А.М.#Б.Физ.;Дифференциальные уравнения#Бишаев А.М.#Б.Физ.;Дифференциальные уравнения#Бишаев А.М.#Б.Физ.;Дифференциальные уравнения#Бишаев А.М.#Б.Физ.;Дифференциальные уравнения#Бишаев А.М.#Б.Физ.;Дифференциальные уравнения#Бишаев А.М.#Б.Физ.;Дифференциальные уравнения#Бишаев А.М.#Б.Физ.;Дифференциальные уравнения#Бишаев А.М.#Б.Физ.
Ин.яз.##;Ин.яз.##;Ин.яз.##;Ин.яз.##;Ин.яз.##;Ин.яз.##;Ин.яз.##;Ин.яз.##;Ин.яз.##
##;##;##;##;##;##;##;##;##
##;##;##;##;##;##;##;##;##
