771;772;773;774;775;776;777;778;779
##;##;##;##;##;##;##;##;##
##;##;##;##;##;##;##;##;##
##;##;##;##;##;##;##;##;##
##;##;##;##;##;##;##;##;##
##;##;##;##;##;##;##;##;##
##;##;##;##;##;##;##;##;##
##;##;##;##;##;##;##;##;##
Компьютерные технологии#Лунев Д.В.#Актовый зал;Компьютерные технологии#Лунев Д.В.#Актовый зал;Компьютерные технологии#Лунев Д.В.#Актовый зал;Компьютерные технологии#Лунев Д.В.#Актовый зал;Компьютерные технологии#Лунев Д.В.#Актовый зал;Компьютерные технологии#Лунев Д.В.#Актовый зал;Компьютерные технологии#Лунев Д.В.#Актовый зал;Компьютерные технологии#Лунев Д.В.#Актовый зал;Компьютерные технологии#Лунев Д.В.#Актовый зал
Ин.яз.##;Ин.яз.##;Ин.яз.##;Ин.яз.##;Ин.яз.##;Ин.яз.##;Ин.яз.##;Ин.яз.##;Ин.яз.##
Мера и интеграл Лебега#Гусев Н.А.#239 НК;Мера и интеграл Лебега#Гусев Н.А.#239 НК;Мера и интеграл Лебега#Гусев Н.А.#239 НК;Мера и интеграл Лебега#Гусев Н.А.#239 НК;Мера и интеграл Лебега#Гусев Н.А.#239 НК;Мера и интеграл Лебега#Гусев Н.А.#239 НК;Мера и интеграл Лебега#Гусев Н.А.#239 НК;Мера и интеграл Лебега#Гусев Н.А.#239 НК;Мера и интеграл Лебега#Гусев Н.А.#239 НК
Дифф.ур.#Прончева О.Г.#527 ГК;##;Дифф.ур.#Пыркова О.А.#413 ГК;Дифф.ур.#Подлипский О.К.#412  ГК;Дифф.ур.#Голубев М.О.#526  ГК;##;##;##;##
##;Дифф.ур.#Подлипский О.К.#412 ГК;##;##;##;Алг.и мод.выч.#Кульков А.#420 ГК;##;Дифф.ур.#Пыркова О.А.#413 ГК;Общая физика#Чивилев В.И.#529 ГК
Современные проблемы прикладной математики##202 НК;Современные проблемы прикладной математики##202 НК;Современные проблемы прикладной математики##202 НК;Современные проблемы прикладной математики##202 НК;Современные проблемы прикладной математики##202 НК;Современные проблемы прикладной математики##202 НК;Современные проблемы прикладной математики##202 НК;Современные проблемы прикладной математики##202 НК;Современные проблемы прикладной математики##202 НК
Современные проблемы прикладной математики##202 НК;Современные проблемы прикладной математики##202 НК;Современные проблемы прикладной математики##202 НК;Современные проблемы прикладной математики##202 НК;Современные проблемы прикладной математики##202 НК;Современные проблемы прикладной математики##202 НК;Современные проблемы прикладной математики##202 НК;Современные проблемы прикладной математики##202 НК;Современные проблемы прикладной математики##202 НК
Общая физика#Лапушкин Г.И.#515 ГК;Алг.и мод.выч.#Плавин А.В.#413  ГК;##;Алг.и мод.выч.#Селиханович Д.А.#432 ГК;Алг.и мод.выч.#Иванов А.В.#432 ГК;##;##;Гармон.ан.#Агаханова Я.С.#409 ГК;Алг.и мод.выч.#Шестаков С.А.#521 ГК
