761;762;763;764;765
Аналитическая механика#Кириллов О. Е.#241;Аналитическая механика#Кириллов О. Е.#241;Аналитическая механика#Кириллов О. Е.#241;Аналитическая механика#Кириллов О. Е.#241;Аналитическая механика#Кириллов О. Е.#241
Компьютерные технологии#Шалаев В.И.#ауд.250;Компьютерные технологии#Шалаев В.И.#ауд.250;Компьютерные технологии#Шалаев В.И.#ауд.250;Аналит.мех.##210;Аналит.мех.##206
Общая физика: лаб.практикум##;##;Аналит.мех.##422;##;##
Общая физика: лаб.практикум##;Колебания и волны##417;##;Теор.вер.##206;Теор.вер.##204
##;Общая физика##417;Общая физика##419;Комп.мод-ние физ. систем##214;Основы почности##205
Общая физика##422;Общая физика: лаб.практикум##;Колебания и волны##419;Комп.мод-ние физ. систем##214;Основы почности##205
##;Общая физика: лаб.практикум##;##;##;##
Колебания и волны#Cидоренко Н.В.#ауд.314;Колебания и волны#Cидоренко Н.В.#ауд.314;Колебания и волны#Cидоренко Н.В.#ауд.314;##;##
##;##;##;##;##
Ин.яз.##;Ин.яз.##;Ин.яз.##;Ин.яз.##;Ин.яз.##
Гармон.анализ##210;Дифф.ур.##206;Основы почности##204;##;##
Дифф.ур.##210;Гармон.анализ##206;Основы почности##204;Общая физика: лаб.практикум##;Общая физика##419
Теор.вер.##210;Теор.вер.##250;Теор.вер.##205;Общая физика##419;Общая физика: лаб.практикум##
##;##;##;##;##
Теория вероятностей#Животов С.Д.#ауд. 250;Теория вероятностей#Животов С.Д.#ауд. 250;Теория вероятностей#Животов С.Д.#ауд. 250;Теория вероятностей#Животов С.Д.#ауд. 250;Теория вероятностей#Животов С.Д.#ауд. 250
Гармонический анализ#Ковалев В.П.#ауд. 306;Гармонический анализ#Ковалев В.П.#ауд. 306;Гармонический анализ#Ковалев В.П.#ауд. 306;Гармонический анализ#Ковалев В.П.#ауд. 306;Гармонический анализ#Ковалев В.П.#ауд. 306
##;##;##;##;##
Компьютерные технологии##214;Аналит.мех.##422;Общая физика: лаб.практикум##;Гармон.анализ##210;Дифф.ур.##422
Аналит.мех.##422;Компьютерные технологии##214;Общая физика: лаб.практикум##;Дифф.ур.##210;Гармон.анализ##422
Колебания и волны##422;##;Компьютерные технологии##214;##;##
##;##;##;##;##
Введение в аэродинамику#Ляпунов С.В.#306  ауд.;Введение в аэродинамику#Ляпунов С.В.#306  ауд.;Введение в аэродинамику#Ляпунов С.В.#306  ауд.;Введение в аэродинамику#Ляпунов С.В.#306  ауд.;Введение в аэродинамику#Ляпунов С.В.#306  ауд.
Дифференциальные уравнения#Николаев В.С.#306 ауд;Дифференциальные уравнения#Николаев В.С.#306 ауд;Дифференциальные уравнения#Николаев В.С.#306 ауд;Дифференциальные уравнения#Николаев В.С.#306 ауд;Дифференциальные уравнения#Николаев В.С.#306 ауд
##;##;##;##;##
##;##;Дифф.ур.##210;Мат. логика и теория алгоритмов##204;Мат. логика и теория алгоритмов##204
Основы почности##204;Основы почности##205;Гармон.анализ##210;##;Мат. логика и теория алгоритмов##204
Основы почности##204;Основы почности##205;##;Мат. логика и теория алгоритмов##204;##
##;##;##;##;##
Общая физика: оптика#Стасенко А.Л._Федоров А.В.#ауд.  314;Общая физика: оптика#Стасенко А.Л._Федоров А.В.#ауд.  314;Общая физика: оптика#Стасенко А.Л._Федоров А.В.#ауд.  314;##;##
##;##;##;##;##
##;Ин.яз.##;Ин.яз.##;Ин.яз.##;Ин.яз.##
Ин.яз.##;##;##;Основы почности##204;Комп.мод-ние физ. систем##214
##;##;##;Основы почности##204;Комп.мод-ние физ. систем##214
##;##;##;##;##
##;##;##;##;##
##;##;##;##;##
##;##;##;##;##
##;##;##;##;##
##;##;##;##;##
##;##;##;##;##
##;##;##;##;##
##;##;##;##;##
