731а;731б;732а;732б;733;734;735;736;737;738
##;##;##;Введ.в МСС : гидрогазодинамика##113 ГК;##;Введение в механику сплошных сред: гидрогазодинамика#Сон Э.Е.#113 ГК;Введение в механику сплошных сред: гидрогазодинамика#Сон Э.Е.#113 ГК;Введение в механику сплошных сред: гидрогазодинамика#Сон Э.Е.#113 ГК;Компьютерная матем.##527 ГК;Материаловедение#Буртелова Н.В.#105 ЛК
Лаборатория основ рт##;##;Лаборатория основ рт##;Лабораторный практикум по механике сплошных сред: гидрогазодинамика##корпус УПМ;Лаборатория основ радиотехники##;##;##;Лабораторный практикум по механике сплошных сред: гидрогазодин.##лаб. аэрофизики корпус УПМ;##;##
Лаборатория основ рт##;##;Лаборатория основ рт##;Лабораторный практикум по механике сплошных сред: гидрогазодинамика##корпус УПМ;Лаборатория основ радиотехники##;##;Прикладные физ.-тех. и комп.методы исследований:лаб.практ.##107 ЛК;Лабораторный практикум по механике сплошных сред: гидрогазодин.##лаб. аэрофизики корпус УПМ;##;##
##;##;##;Лабораторный практикум по механике сплошных сред: гидрогазодинамика##корпус УПМ;##;##;Прикладные физ.-тех. и комп.методы исследований:лаб.практ.##107 ЛК;Лабораторный практикум по механике сплошных сред: гидрогазодин.##лаб. аэрофизики корпус УПМ;##;##
##;##;##;##;##;##;##;##;##;##
##;##;##;##;##;Прикладные физ.-тех. и комп.методы исследований:лаб.практ.##107 ЛК;Общая физика#Усков В.В.#531 ГК;##;Общая физика: лаб.практикум#Копнин С.И._Копнин С.И.#;Занятия В РАНХиГС##
Аналит.мех.#Козьминых В.А.#412 ГК;Аналит.мех.#Козьминых В.А.#412 ГК;Аналит.мех.#Иванов Д.С.#414 ГК;Аналит.мех.#Иванов Д.С.#414 ГК;Дифф.ур.#Глухов И.В.#428 ГК;Прикладные физ.-тех. и комп.методы исследований:лаб.практ.##107 ЛК;Введение в МСС##211 ГК;##;Общая физика: лаб.практикум#Копнин С.И._Копнин С.И.#;Занятия В РАНХиГС##
Гармон.анализ#Дымарский Я.М.#413 ГК;Гармон.анализ#Дымарский Я.М.#413 ГК;##;##;##;##;##;Аналит.мех.#Павловский В.Е.#419 ГК;Гармон.анализ#Бурцев А.А.#"Артика" №424;Занятия В РАНХиГС##
##;##;##;##;Общая физика: лаб.практикум#Виноградов С.В._Овчинников К.А.#;##;##;##;##;Занятия В РАНХиГС##
##;##;##;##;Общая физика: лаб.практикум#Виноградов С.В._Овчинников К.А.#;Лабораторный практикум по механике сплошных сред: гидрогазодин.##лаб. аэрофизики корпус УПМ;Лабораторный практикум по механике сплошных сред: гидрогазодин.##лаб. аэрофизики корпус УПМ;##;Материаловедение#Кузьменко В.М.#422 ГК;Занятия В РАНХиГС##
##;##;Прикладные физ.-тех. и комп.методы исследований:лаб.практ.##107 ЛК;Прикладные физ.-тех. и комп.методы исследований:лаб.практ.##107 ЛК;##;Лабораторный практикум по механике сплошных сред: гидрогазодин.##лаб. аэрофизики корпус УПМ;Лабораторный практикум по механике сплошных сред: гидрогазодин.##лаб. аэрофизики корпус УПМ;Дифф.ур.#Лапушански М.С.#424 ГК;Материаловедение#Кузьменко В.М.#422 ГК;Занятия В РАНХиГС##
##;##;Прикладные физ.-тех. и комп.методы исследований:лаб.практ.##107 ЛК;Прикладные физ.-тех. и комп.методы исследований:лаб.практ.##107 ЛК;##;Лабораторный практикум по механике сплошных сред: гидрогазодин.##лаб. аэрофизики корпус УПМ;Лабораторный практикум по механике сплошных сред: гидрогазодин.##лаб. аэрофизики корпус УПМ;##;##;Занятия В РАНХиГС##
##;##;Гармон.анализ#Бишаев А.М.#409  ГК;Гармон.анализ#Бишаев А.М.#409  ГК;##;##;##;Прикладные физ.-тех. и комп.методы исследований:лаб.практ.##107 ЛК;##;##
Общая физика#Миславский В.В.#527 ГК;Общая физика#Миславский В.В.#527 ГК;Дифф.ур.#Семенов А.Ю.#518 ГК;Дифф.ур.#Семенов А.Ю.#518 ГК;Гармон.анализ#Умнов А.Е.#411 ГК;##;##;##;##;Компьютерная матем.##422 ГК
##;##;##;##;Общая физика#Кленов С.Л.#515 ГК;Общая физика#Арсеньев А.Р.#523 ГК;##;Прикладные физ.-тех. и комп.методы исследований:лаб.практ.##107 ЛК;Общая физика#Копнин С.И.#532 ГК;Общая физика#Копнин С.И.#532 ГК
Дифференциальные уравнения#Умнов А.Е.#239 НК;Дифференциальные уравнения#Умнов А.Е.#239 НК;Дифференциальные уравнения#Умнов А.Е.#239 НК;Дифференциальные уравнения#Умнов А.Е.#239 НК;Дифференциальные уравнения#Умнов А.Е.#239 НК;Дифференциальные уравнения#Умнов А.Е.#239 НК;Дифференциальные уравнения#Умнов А.Е.#239 НК;Дифференциальные уравнения#Умнов А.Е.#239 НК;Дифференциальные уравнения#Умнов А.Е.#239 НК;Дифференциальные уравнения#Умнов А.Е.#239 НК
##;МММ##412 ГК;Общая физика#Нозик А.А.#532 ГК;Общая физика#Нозик А.А.#532 ГК;##;##;##;##;##;##
##;Доп.гл.информ.##107 ЛК;##;##;##;##;##;##;##;##
##;##;##;##;##;##;##;##;##;##
