781;782;783;784;785;786;787
##;##;##;##;##;##;##
##;##;##;##;##;##;##
##;##;##;##;##;##;##
##;##;##;##;##;##;##
##;##;##;##;##;##;##
##;##;##;##;##;##;##
##;##;##;##;##;##;##
Компьютерные технологии##317 ЛК;##;##;##;Компьютерные технологии##319 ЛК;##;##
Компьютерные технологии##317 ЛК;Дифф.ур.#Шаньков В.В.#409 ГК;##;##;Компьютерные технологии##319 ЛК;##;##
##;Общая физика#Долгих В.А.#522 ГК;##;Гармон.анализ#Киреенков А.А.#417 ГК;Гармон.анализ#Голованов Ю.В.#414 ГК;##;##
Введение в электронику##;##;##;Введение в электронику##;Аналит.мех.#Семендяев С.В.#411 ГК;Общая физика: лаб.практикум#Судаков О.А._Ткаченко С.И.#;Общая физика: лаб.практикум#Кириллов В.П._Чешев Ю.В.#
Введение в электронику##;##;##;Введение в электронику##;##;Общая физика: лаб.практикум#Судаков О.А._Ткаченко С.И.#;Общая физика: лаб.практикум#Кириллов В.П._Чешев Ю.В.#
Введение в электронику##;##;##;Введение в электронику##;##;##;##
##;##;##;##;##;##;##
##;##;Компьютерные технологии##319 ЛК;##;Общая физика#Судаков О.А.#521 ГК;Общая физика#Седельников Е.В.#526 ГК;##
##;Аналит.мех.#Семендяев С.В.#413 ГК;Компьютерные технологии##319 ЛК;##;##;Аналит.мех.#Ткачев С.С.#412 ГК;##
##;##;Дифф.ур.#Агаханова Я.С.#409 ГК;##;##;##;##
Ин.яз.##;Ин.яз.##;Ин.яз.##;Ин.яз.##;Ин.яз.##;Ин.яз.##;Ин.яз.##
##;##;##;##;##;##;##
##;Компьютерные технологии##317 ЛК;##;##;##;##;##
##;Компьютерные технологии##317 ЛК;##;##;##;##;##
##;##;##;##;##;##;##
Общая физика:оптика#Петухов В.А.#Гл.Физ.;Общая физика:оптика#Петухов В.А.#Гл.Физ.;Общая физика:оптика#Петухов В.А.#Гл.Физ.;Общая физика:оптика#Петухов В.А.#Гл.Физ.;Общая физика:оптика#Петухов В.А.#Гл.Физ.;Общая физика:оптика#Петухов В.А.#Гл.Физ.;Общая физика:оптика#Петухов В.А.#Гл.Физ.
Гармон.анализ#Умнов Е.А.#526 ГК;##;##;Компьютерные технологии##320 ЛК;Введение в электронику##;Дифф.ур.#Агаханова Я.С.#413 ГК;Дифф.ур#Сакбаев В.Ж.#420 ГК
Общая физика#Чешев Ю.В.#507а ГК;Общая физика: лаб.практикум#Овчинников К.А._Жабин С.Н.#;Общая физика: лаб.практикум#Гавриков А.В._Нозик А.А.#;Компьютерные технологии##320 ЛК;Введение в электронику##;Компьютерные технологии##321 ЛК;Компьютерные технологии##324а ЛК
##;Общая физика: лаб.практикум#Овчинников К.А._Жабин С.Н.#;Общая физика: лаб.практикум#Гавриков А.В._Нозик А.А.#;Дифф.ур.#Егоров А.И.#531 ГК;Введение в электронику##;Компьютерные технологии##321 ЛК;Компьютерные технологии##324а ЛК
##;##;Общая физика#Гавриков А.В.#532 ГК;##;##;##;##
##;##;##;##;##;##;##
