741;742;743
##;##;##
##;##;##
##;##;##
##;##;##
##;##;##
##;##;##
##;##;##
Общая физика#Клименок К.Л.#521 ГК;##;##
Гармонический анализ#Голубов Б.И.#Актовый зал;Гармонический анализ#Голубов Б.И.#Актовый зал;Гармонический анализ#Голубов Б.И.#Актовый зал
Хим. физика##532 ГК;##;Общая физика#Клименок К.Л.#521 ГК
Хим. физика##532 ГК;Общая физика: лаб.практикум#Никулин М.Г._Ильин А.В.#;Хим. физика##531 ГК
##;Общая физика: лаб.практикум#Никулин М.Г._Ильин А.В.#;Хим. физика##531 ГК
##;##;##
##;##;##
Ин.яз.##;Ин.яз.##;Ин.яз.##
##;Гармон.анализ#Загрядский О.А.#416 ГК;##
##;##;##
##;Общая физика#Никулин М.Г.#526 ГК;Гармон.ан.#Бурцев А.А.#415 ГК
Альт курс 1 из 2: Физические основы наук о материалах#Янилкин А.В.#430 ГК;Альт курс 1 из 2: Физические основы наук о материалах#Янилкин А.В.#430 ГК;Альт курс 1 из 2: Физические основы наук о материалах#Янилкин А.В.#430 ГК
##;##;##
##;##;##
Общая физика: лаб.практикум#Вахитов Р.Р._Филатов Ю.Н.#;Хим. физика##416 ГК;Общая физика: лаб.практикум#Чуриков Д.В._Федоров Г.Е.#
Общая физика: лаб.практикум#Вахитов Р.Р._Филатов Ю.Н.#;Хим. физика##416 ГК;Общая физика: лаб.практикум#Чуриков Д.В._Федоров Г.Е.#
Химическая физика#Разумов В.Ф.#117 ГК;Химическая физика#Разумов В.Ф.#117 ГК;Химическая физика#Разумов В.Ф.#117 ГК
##;##;##
Объектно-ориентированное программир.#Макаров И.С.#802 КПМ;Объектно-ориентированное программир.#Михалева А.Д.#320 ЛК;Объектно-ориентированное программир.##804 КПМ
Объектно-ориентированное программир.#Макаров И.С.#802 КПМ;Объектно-ориентированное программир.#Михалева А.Д.#320 ЛК;Объектно-ориентированное программир.##804 КПМ
##;##;##
Альт.курс 1 из 2: Экология#Бондаренко П.В.#430 ГК;Альт.курс 1 из 2: Экология#Бондаренко П.В.#430 ГК;Альт.курс 1 из 2: Экология#Бондаренко П.В.#430 ГК
Гармон.анализ#Бишаев А.М.#411 ГК;##;Аналит.мех#Синев А.Н.#419 ГК
Аналитическая механика#Муницына М.А.#202 НК;Аналитическая механика#Муницына М.А.#202 НК;Аналитическая механика#Муницына М.А.#202 НК
##;Дифф.ур.#Бишаев А.М.#420 ГК;##
Аналит.мех#Федичев О.Б.#415 ГК;##;##
Математическая статистика#Райгородский А.М.#115 КПМ;Математическая статистика#Райгородский А.М.#115 КПМ;Математическая статистика#Райгородский А.М.#115 КПМ
##;##;##
##;##;##
##;Аналит.мех#Муницына М.А.#516 ГК;Дифф.ур.#Лизунов А.Ю.#532 ГК
Ин.яз.##;Ин.яз.##;Ин.яз.##
Дифференциальные уравнения#Бишаев А.М.#Б.Физ.;Дифференциальные уравнения#Бишаев А.М.#Б.Физ.;Дифференциальные уравнения#Бишаев А.М.#Б.Физ.
Общая физика: оптика#Гавриков А.В.#Гл.Физ.;Общая физика: оптика#Гавриков А.В.#Гл.Физ.;Общая физика: оптика#Гавриков А.В.#Гл.Физ.
Дифф.ур.#Кальметьев Р.Ш.#413 ГК;##;##
##;##;##
